Author, Gender, Age, Docs, Words
1031e10bb09779692a803e9906509114,male,20s,1.0,366.0
1032176a7a27b911b5ef622171da32a,female,20s,2.0,44.0
1032905aba4af80048bd60fd056d2128,male,20s,2.0,58.0
1032c04a9acf46485aaf1e3ed41948be,female,20s,1.0,35.0
10344cfeb76b82e3c64efea09f43a847,male,20s,1.0,18.0
1034584701646927be65df0b4196851e,male,20s,1.0,13.0
1036b011b2d9fd369488f4e78bdcd11,male,30s,1.0,40.0
103830217d68ccf095bb86066858e556,female,20s,1.0,47.0
1038be11b9fdaae237f39f88dcf43b21,male,20s,2.0,69.0
1039b70c665f648f31cb81430927c644,female,30s,1.0,37.0
103ad25f92b9c7b66cea8c83bc654ab6,female,20s,3.0,168.0
103b24e5f1f2f52f639249b1fd634268,female,20s,1.0,44.0
103b655b83f5daf64f595b5ea0fb24e7,male,30s,1.0,12.0
103bef61b27a61af18bc959f87ecde51,female,20s,1.0,27.0
103bf212d4365600506a985eb6f3038c,female,30s,4.0,1127.0
10408d7063f184804e5d281d18acade1,male,20s,3.0,381.0
10424861f62ae8a7eccb0e8156d18148,male,20s,1.0,137.0
10426728d4eb7a0bc65a77627768d4e7,female,20s,1.0,19.0
10428f0c3cffcec78443c552c4a1887f,female,20s,1.0,48.0
104338627199c982a5ff7a2e8f028577,female,30s,1.0,40.0
10443c9e8f58a0680bd7ffae02c3de75,female,30s,1.0,36.0
10444fd988a9bf624c572e409ee4174,male,30s,1.0,18.0
1044fb842a863ae278de81f28786c0d3,male,30s,1.0,54.0
10453b366e4a2aa68dd7d06aceabf29c,female,30s,2.0,1462.0
10456b0d05e2573e9116024c23dd886c,female,20s,1.0,1.0
1045ae6b5c332654e9a2125518fede79,female,20s,2.0,1005.0
1045da7756c2883b7c35389d61205495,male,20s,1.0,18.0
10462d31dc24d4b0884f8e03878ef486,female,20s,1.0,139.0
104658a6fc15575fd993057f80a37ee6,male,20s,1.0,4.0
10498e3c84417ee4b89a29186c9b97f6,female,20s,1.0,293.0
1049ee85852036284e3c24dec0b15158,male,20s,1.0,341.0
104d7b02c049b1281d17530ee6b8d2f9,male,30s,3.0,668.0
104d7b1997b6b76ec2debfbe3d65834b,male,20s,1.0,80.0
104fc21801dfca3e1a4aa09ed0b7e1ac,female,10s,1.0,18.0
104fd09107145e2730dbc51345598fb,female,20s,1.0,22.0
10503ae86f99b1f5b837bacab4332554,male,20s,1.0,23.0
10505d3df30677c50a6f813cc43acd0e,female,30s,3.0,122.0
10514d608fb1391fc05bc6d0e1ede8a8,male,10s,2.0,570.0
1051b14a334759e28ce1c804f372a9ac,female,20s,2.0,38.0
1052576ab2ab6f5cf99989a924b9a064,male,30s,8.0,1061.0
1053e3b80631b8565ea2f5a8192a622d,male,20s,1.0,15.0
1054e3f7e78779254067820ce7c4249d,female,20s,1.0,38.0
1055337ec0c55b57a92d16c11591cedd,female,20s,4.0,221.0
105551867b028dfdc2d5e5952c7b6d29,male,30s,1.0,17.0
105621f9897f0bb1546e98cd1268767,male,20s,1.0,3.0
1056d1e96a58afec6169d2c8eca68e5,female,20s,2.0,1126.0
105a49054bf72c69b4b19b2258dc6ee0,female,30s,2.0,440.0
105aa5ebb7c145edc82e48faee265d6a,female,30s,1.0,56.0
105ac40517c44e8a1cdb474d746b7f10,male,30s,2.0,55.0
105aff28d6fdaf537779334ddc1e4242,female,30s,3.0,1494.0
105d0690180f0c824132bb095175dfd6,female,20s,1.0,16.0
105d8d3514b16bdc287f7a1a072088dd,male,30s,1.0,566.0
105e0b44829c0c7d207b0956a39ab2ce,female,30s,1.0,43.0
10603dfdf44b811fa473a5bf11ecfbf6,male,30s,1.0,15.0
106192e1744e616e8524da8f2a5bc928,female,30s,1.0,23.0
10624146a477a22d71fc0b20ad7ddb7c,female,20s,1.0,181.0
1063d02ac3b97bc3bedd9c53866ef616,female,30s,1.0,3.0
10640d4aa66b5cca787cd571fc6ef692,male,30s,1.0,15.0
1064bfaf44f0a2a374d2b3be6475466c,male,20s,1.0,175.0
1064e945c323268dd51ee2dec70190df,male,20s,2.0,47.0
106739689255f7fa3ac3626f9a44b7e9,female,20s,1.0,31.0
1067a8eae06c429ee5f8a69991ed2cdf,female,20s,1.0,31.0
1067d76e3f4c0e2b41e0040e5c1f103f,female,20s,1.0,88.0
106825c00be8a83dff098c0ac4f6fa1d,male,30s,1.0,35.0
10697edcdc0d56ad16a310fb1505de4a,female,30s,1.0,29.0
106a30c85247c8d1c979c883f3c9a51f,male,10s,1.0,7.0
106ab8fb47b2ccc9feca23dcdfc605e8,female,20s,1.0,191.0
106b1e8d0cfd039506abe37d842ba5ea,female,20s,2.0,127.0
106b429fdf82d92454b5e8f94b78328f,male,20s,4.0,311.0
106bd52ec90a3cc9abc9cbec93a339e8,male,30s,1.0,15.0
106d635c6fc42eb7355199cd996b0fb0,male,20s,1.0,49.0
106d70fabb76ba121d1e697b401f8ed5,female,30s,1.0,53.0
106d7eadb7cc21dd9cdee0069dee1503,female,20s,4.0,279.0
106dbeb5172a49583d093a95e84f1183,female,30s,1.0,9.0
106e8dd57fdada0e1d8cab03898d04da,female,20s,2.0,1069.0
106ee61c6f9e1f54c02fdf5c090d8eab,male,20s,1.0,150.0
106fcb2b6d5107f8ff58dbc2ad1c75c6,female,20s,4.0,1571.0
10702293a19fe28daf9ef26aaa5f4b34,female,30s,7.0,1671.0
10708fd65ae861a8c7554bac70688291,male,30s,2.0,49.0
1070b5107314c62eb0dcbb5eb9ed1da,female,30s,2.0,269.0
1070ffa8fb00bf17f0cf66ecdadb584c,female,30s,5.0,1556.0
1071b378d6231ab55e9a18348f9483c,female,30s,2.0,36.0
1071bc6228ac559882fa227aa0ef9118,female,20s,1.0,105.0
1071ddf952150d0aa01bc00ef1cfa407,male,30s,1.0,118.0
107221479353022c5ccc8af2e021864b,female,20s,8.0,693.0
1072b124b6d892675eb7d0237db9ab2c,female,10s,1.0,38.0
1073a2863874c21084ab9b79bdabcd22,male,20s,1.0,13.0
1073abc0f23a339023a135935db385d6,female,20s,2.0,143.0
107440f3e9cb3b05cdcf21613e4400f5,male,20s,1.0,4.0
10766798392f090129c3acfc174d62f6,female,20s,1.0,47.0
1076dccb3bacf47614e1eade69aef19c,female,20s,1.0,11.0
1076ef43c670e56cd24538b68479d5ca,female,30s,1.0,1183.0
10778a34a1e794f4ee0d68a35da63796,female,20s,3.0,1218.0
1078827f325591afc5300a7ac8d7a305,male,20s,1.0,23.0
10794a49703fe1856f619a55d5ed87ea,male,30s,1.0,102.0
107986bf8e162e07d539d416e50e2adc,male,30s,1.0,12.0
107b6814ae73b573cd4b8f9d77aa8f3c,male,20s,1.0,25.0
107bef1076f2afcddb16bdd159bf281e,female,20s,2.0,1070.0
107dbcc9d456ae5403655b6340c4fcb,male,20s,2.0,29.0
107e1f7234042bcd06526a20eb35076f,male,20s,1.0,149.0
107e2c017f00cf464c3c72e5c1a483c1,male,20s,1.0,26.0
107f85be25adf35b9b7f7b26f0e25ded,female,30s,1.0,396.0
1080c3ee03c5892a9dd3bc488d78b7d,male,20s,1.0,15.0
108110e9f92ddfe5826316630239851a,male,20s,1.0,43.0
10837e1aa916739a34598135c78557c6,male,20s,2.0,106.0
1083b13121d4979ac6c2d46e9ba43db2,male,30s,6.0,119.0
1083ec3877e5586150865bd7203319ef,female,20s,1.0,15.0
1084b19d6023add9026a166f0fc54cfc,female,30s,1.0,49.0
108692f17c5162b292b9445ca569399a,female,10s,1.0,14.0
10869ed8a99201679af65bd12df585a8,male,30s,1.0,201.0
1087a3ae8daaf6ae469699b6635b79de,male,30s,1.0,58.0
10889c3fa2168cb2bd586562630d2b8a,male,30s,13.0,511.0
10892169e5d02248568ce766659e07bb,female,20s,1.0,31.0
108a1ec91a0e4f37f3bcffd3481f98aa,male,30s,1.0,13.0
108a5e81249cc99b817cac5a4b65f63f,female,20s,4.0,827.0
108acee8b9f22d0dcd9fc286bcfc2675,male,20s,4.0,1025.0
108b010214171da13cff320989d66fd7,female,30s,1.0,52.0
108b20eaaca509a5dd97159ae6a47dfe,female,20s,1.0,13.0
108b9f2a098767d0edd813c2893b7a70,male,30s,1.0,24.0
108c5dcdcf2596f1cc829411318b5581,female,30s,3.0,1491.0
108e33591ac06f93011134879ad0eb35,male,20s,1.0,185.0
1090b1a49629988e0a09f9b64f5e6bb7,female,20s,1.0,310.0
1091814078a2207e14254822e508c733,female,30s,1.0,70.0
10929300181f7386d23895a6d6e9143a,male,30s,1.0,29.0
1094f1cae8d6b805ec73261ca92cebd5,female,30s,10.0,720.0
1095e92cdc0b8bb4a263cabaa8777c4c,female,20s,1.0,56.0
10964dacf15994d0cb6aa13bbecc0497,male,20s,1.0,23.0
1096dc7d3b09d5ef8bcdab4737499893,female,10s,1.0,160.0
1097be712ed81dee48c8fe37cf281295,male,20s,1.0,196.0
10981a1df97c00e052fe1542a537d771,male,30s,2.0,6160.0
1098a53ae4cfd694e9799e29a32dec14,female,30s,1.0,52.0
109a768d19554c2d21f09be43f1b318d,male,20s,1.0,270.0
109adcf54c49e552640cdbbd76d003a8,female,20s,1.0,68.0
109b382cfaf7dfdcee17c5d80126ef4c,male,30s,1.0,23.0
109b63bca25120c09daded5dcd978854,male,20s,1.0,68.0
109bbb0d0f0a21c94b5f5623e66f7bdd,female,20s,1.0,13.0
109ca49e29b5b1df3dac8ae3aba0f068,male,30s,3.0,1194.0
109cd90a288f4d505e0ff2804d59eb0b,male,30s,1.0,9.0
109dd3f906dade376d7e7ac2fa6e7977,male,30s,1.0,145.0
109ef4edf96343dcc5eb91d51a8574d,male,20s,1.0,105.0
10a12935a22798a5dd71b59225c707d9,female,30s,1.0,40.0
10a1c582ca52ac77089996377bac2b0a,female,30s,2.0,94.0
10a26f135075acfd29519c708df02cc,female,20s,1.0,7.0
10a31f321cbbbcfa93eebb8fc1fc36dd,female,20s,1.0,73.0
10a322e4ffe447301eff36e1d9aa06e3,female,20s,4.0,1168.0
10a399b38d76a0668475376ee0e08817,male,30s,3.0,783.0
10a4ec85fc2596e44f88c2edd7dcc66f,female,30s,1.0,686.0
10a5d4f808d471bdd6b66f0ca26b3d8,female,20s,1.0,7.0
10a6498e836fda30ae8d9d6a40d6568a,female,20s,1.0,17.0
10a70561a898895aa49c86352a791ac3,female,20s,1.0,18.0
10a74ee4e4ba9dd066d1efac3e2af61d,female,20s,1.0,35.0
10a88bf06d83b13cf6e5a2ba3ecc817,female,30s,1.0,80.0
10a99b6514ccfca6fd557dc8f444970d,female,30s,1.0,18.0
10ab634c09395d25605e0f33f9e6ccad,male,20s,1.0,21.0
10abf66da2f3d5021860adae86aa5e8,male,20s,1.0,39.0
10ac3e2cba989024509a1b59aad39bff,male,20s,1.0,27.0
10acef62c8397e5f2a991f1995cd74f1,female,30s,2.0,17.0
10ad99b8d185abc6ee74e16ced50b76a,female,30s,1.0,1420.0
10af44fefae463366953aa75b857da9,male,20s,1.0,211.0
10b08ec929b00fd389fd5c06a690f3ca,male,20s,2.0,299.0
10b096c75d386adb53c737bd18edbba5,male,20s,1.0,31.0
10b126660c009d011664d390f22b9e6c,female,20s,1.0,6.0
10b1b3cfbb1aec44ba08d98965ce53ff,male,30s,1.0,40.0
10b21944e7726c720bdc037c168e05fb,male,30s,4.0,1342.0
10b28867f7ae64ddd0163ee567aaaecb,male,30s,1.0,15.0
10b31c3d9b522c78f7280ad8e04fd11f,male,30s,1.0,31.0
10b38d21597e32a2c65a51b869a16773,male,20s,1.0,38.0
10b3a9ca791876dae4f18bfe1431ce04,male,30s,1.0,68.0
10b3b3b108666a65d90f1d9dc9eddd3,male,20s,6.0,1151.0
10b3bda0d64f552f689ac53420008ab7,female,20s,1.0,17.0
10b477f017ce77753b7650d3ca26e7f5,male,30s,3.0,1019.0
10b5427407377d244c71d45a4050ca8d,male,20s,7.0,573.0
10b57c91ddffdd15e6e86bc14bf7f236,male,20s,1.0,23.0
10b8129aa53f32356e089e7bbcb368fe,male,20s,1.0,33.0
10b8bb291b456c28e2abb46648afc937,male,30s,6.0,1692.0
10bb0d058bae8587927e34da56bf2b89,male,30s,1.0,252.0
10bb3625caae1eb7e84fd25735d3661,female,20s,3.0,925.0
10bb6bde06713731cca45a712cec9798,female,30s,1.0,1877.0
10bc60d40bc3bd142aef116f859de282,female,30s,2.0,346.0
10bcea13e5ab7bf25ab1ea911c7cd739,male,20s,2.0,1208.0
10bd610978cf2890da56f8b54357252d,female,20s,1.0,82.0
10bfdc1190c6cf380f47d90eb9e6ec7a,male,10s,1.0,85.0
10c1533fa6836c2acec47b59206ae1ea,female,30s,1.0,292.0
10c42b82d4710ec931f0ac2a7381153a,male,20s,1.0,69.0
10c48b0b2000aa276ed6e3c575c7eb57,male,30s,2.0,1403.0
10c497db8fdd99792f03df6d0f0cd872,female,20s,1.0,44.0
10c563d6a6734f82067c8ba719be579c,male,30s,2.0,618.0
10c5a7abd2cc47c38181b7bbbb3e743f,male,30s,4.0,992.0
10c5ac0bf983c3a21c9c6a4a55613de6,female,30s,2.0,764.0
10c7ca84f88c200fc9a8d4ed278b848d,male,20s,2.0,1343.0
10c8729da2835f15c81346ec351e3855,female,30s,1.0,137.0
10c8950e91143e7579a4bd49bbdbc1a2,male,20s,2.0,67.0
10c99cfa3af8495dca87174b0b8e7a5,female,30s,1.0,95.0
10c9b6348316cc876f9eff59045f5350,female,20s,1.0,24.0
10ca7537c975ee43d3fbbbe2c072bf5d,female,20s,1.0,346.0
10cb2d9f59f8feb0387d163c995fa5f2,female,20s,1.0,43.0
10cc809b3058cc9756dda063934001f6,male,30s,1.0,9.0
10cc916aa4ba46b74f89a2559dbeedd6,male,20s,7.0,1099.0
10ccd103c7787bb04bcd84f54c5c71b0,male,30s,1.0,29.0
10ccdd02c9e8654c45c33a12d6179a16,female,30s,2.0,667.0
10ccfec28710dde056c36957b2d2c48d,male,30s,1.0,18.0
10cd63d8fcb6b050e5d24b9596e97dba,female,20s,2.0,1052.0
10cfa20f9368640ecf69b1d44509864c,female,20s,2.0,26.0
10d2c7fd87662d16d2ada2825648868a,female,20s,1.0,26.0
10d2d45757262959fc4effa3aad45dfd,male,20s,1.0,15.0
10d66a94cbd85fdbd7b59de5cf0a22ea,male,20s,1.0,82.0
10d6e0495b50065482c729b514011775,female,30s,2.0,457.0
10d73798fe50929fc8296142a0475bf5,male,20s,1.0,22.0
10d78e4a73020fb9a9d508fbc829ddba,male,20s,1.0,236.0
10d85de721f07ca4b3bfa2b4475a7ba0,male,30s,4.0,1004.0
10d87259a9a16541d60c6ad5b1041452,male,20s,2.0,1374.0
10d8b37eeb54b389526347130bab97a7,male,20s,1.0,3.0
10d8c216c7d24490e89416a9a14436a6,female,20s,2.0,151.0
10da59cdc1eee079858554567a65ac54,female,20s,1.0,14.0
10da932742ff97f49790f2e3c9c1bc9c,female,20s,1.0,38.0
10daa21eeeb50f6ffcce52725a150f27,male,30s,1.0,246.0
10dafcd9723e0e5727b2da74baca86db,female,30s,3.0,1412.0
10dbf7ea673dd5f93d1375dda3328c1e,male,20s,2.0,1091.0
10dd37b41d44611f2b114e8ff171d37d,male,20s,1.0,232.0
10de5314e0a225b024cdd3b75d84c3d5,female,30s,1.0,13.0
10de5ccd5c698f7f75aee58407d4500a,female,30s,1.0,20.0
10df1a5820534108e9538a182dfe7538,male,30s,1.0,10.0
10df440b6d66437f9b750e9105401cbc,female,30s,1.0,12.0
10e274c54498ad240379e617393031ae,male,30s,1.0,86.0
10e2c8fed62eede2c2eca21a2f047a3,female,30s,2.0,124.0
10e424ecb9406a676fcb462fd10364aa,male,20s,1.0,87.0
10e570529e58417b6023cd6227903b1c,male,30s,1.0,1246.0
10e73bc067ba8a6aecf096878d477ed3,female,30s,1.0,49.0
10e796e5a0c83d6dd6b467d02e2e7a8e,male,20s,2.0,53.0
10e79b74cfd4f370357e532daf330cb7,male,30s,1.0,143.0
10e7b9ffaee7bab3e14e53b483e60b,female,30s,1.0,234.0
10e8d1c18f6716b9dccdc0599dbf3804,male,30s,1.0,10.0
10e9a834918858e1de8f17ed8542f499,male,20s,2.0,118.0
10e9acedf890da60f5502f0b8648d8ff,female,30s,1.0,56.0
10ea1d6377065204cb075440ba0a2607,female,30s,1.0,204.0
10ea7b2a5be5e4624eb363aa4c43af02,female,20s,1.0,33.0
10eaa05df11e6dfbe777673a1c5a1e42,female,20s,5.0,537.0
10eb8acc8de3544461b3cee15e7f2bd1,female,20s,1.0,21.0
10ecb2650956e3194b80d8b21cb907d6,female,20s,1.0,139.0
10edf5a337e5c46951a40eb557f99e6f,female,30s,1.0,1025.0
10efbf1d1e7ea4b24ee76dc01451e80e,female,30s,1.0,60.0
10f0a2f404705daa1a6cf108499d0556,female,20s,1.0,4.0
10f0b7e685c459378b5c82bde3733667,male,20s,4.0,1215.0
10f0e5660d164a9ff5215cc2aeca35c,male,20s,1.0,100.0
10f149c46a1e8ff63fefa0c4c382058a,female,20s,1.0,286.0
10f2d3d6f45be12edbbcb9094ba5eb81,female,20s,1.0,10.0
10f2d5f1ef985540151003eb65512594,female,20s,1.0,29.0
10f30d522d85db72006461c166555c94,male,20s,1.0,41.0
10f3b147d32289f3590c04b2ad74e08c,female,30s,5.0,333.0
10f4120a6accaf40dc681aea6c18e7ea,female,20s,1.0,131.0
10f4cd13e20558162eeaccabe2d08658,male,20s,2.0,43.0
10f4d65fb136c790eaed72f5881b2b21,female,20s,4.0,841.0
10f5c70f7837fc88f8134b6b6748e644,female,30s,2.0,765.0
10f75ae73c0232ea16f481f9f4291eb7,female,30s,1.0,246.0
10f7927829596c93f62d6221a30b1222,female,20s,1.0,639.0
10f86c6b0cf43cebcb599d84c3929bbe,male,30s,2.0,121.0
10f8ba573eabee4437a26efd81055974,male,20s,1.0,105.0
10f91eef284239c49c24047e5c6d1e51,male,30s,2.0,1145.0
10fa3a1c9cbb797c78e738376d18ee77,female,20s,2.0,91.0
10fb25d1e857608fdc4413edc68f148d,male,20s,1.0,362.0
10fb4fb04cb7d4547e65bc5266a5242,male,20s,2.0,256.0
10fc6afaf317e4dbe2f5ca28cb37691c,male,20s,1.0,17.0
10fd265ed059e81e26db4eee606bec70,male,20s,1.0,9.0
10ff1cbd4c802bb9b0428f38b9b4ade1,female,20s,1.0,34.0
10ff2dbe76b69aed74bd7b3d86ad2cf2,female,30s,1.0,7.0
10ffbb734fd913760243b65265ae62af,male,20s,8.0,1203.0
110114932c2e1ff1249c3f235d522ba1,female,30s,1.0,15.0
11013af46452fc2978c0cab33b524f08,male,10s,4.0,346.0
11015809dc53e55873fffbae8022838b,male,30s,1.0,16.0
1101aab81de1ac229783477d6737f491,male,20s,1.0,50.0
110241e66aeb8ef7a763e6b8556b4a4a,female,30s,1.0,39.0
110245896520a476b1716ecdbd412a99,male,30s,1.0,413.0
11026b6819241318c0bb047bb66f624f,female,30s,1.0,37.0
1102f1400c4ae370d988730dffbee313,female,30s,1.0,26.0
110372932ed7ea3ebf56e95112ef3fa,female,30s,1.0,36.0
1104180832230d02cef09cec8b4183af,male,20s,1.0,14.0
1104578420610e328758e61b9008511c,female,20s,1.0,18.0
11080b1180b12e22103be5b8807c3c3b,male,20s,1.0,8.0
11081e489fec17003f810a7710b742e2,male,20s,2.0,132.0
11086d998c7d65595e5a73beb0245b87,female,30s,1.0,98.0
11090c6fd3250bbedfba0a9d91204294,male,20s,1.0,21.0
110a296a3ea7ea6886ea06a7e22431fb,male,20s,1.0,13.0
110a55e63bf0c00d4da41c3d1ba49f25,male,20s,1.0,70.0
110b4901ecc40289b75e6287a5e95077,male,30s,1.0,104.0
110b4c68a2dbb673b898b5f52ddbea3a,female,30s,3.0,453.0
110db92800ecb766d5e9c8c52dc8f27a,male,20s,2.0,709.0
110e07bc25c993119bbfbe7199ff104d,male,20s,1.0,8.0
110f722937157f709e9a21ef32030d35,male,20s,1.0,194.0
1112a050f0b7178975c6db0f4ba28e7e,female,20s,3.0,524.0
1113a91a82c45898bc5887a1fd6d024a,male,30s,1.0,20.0
11158dfebd740c7c28c0c09f4bda4c1b,male,20s,4.0,1492.0
111620c8ad3ad162997f87c856194b1b,female,30s,1.0,164.0
11162cfd519a32082cba55815bddccd9,female,30s,1.0,22.0
1117228d96dcfe7b411413afe42708b,male,20s,1.0,39.0
1117d3b2eebcde6d6cfe6cb48c0ab452,female,30s,1.0,79.0
1117f215778cd95d935aadc1a652d917,male,30s,5.0,1717.0
1117fb8daf8ed475b66c9041f6b0223e,male,30s,1.0,222.0
111855d592cc038efa9d24b1279f196a,female,30s,2.0,1465.0
1119af38db98ca351de46148f1df778,female,20s,1.0,8.0
111bba299f0d3b4469d19a7f01d352cb,female,20s,3.0,413.0
111bdce204a568c5a22f1db62f44ceb5,female,30s,3.0,805.0
111f86a3b5066c0b41b2eae1dd0b8601,female,20s,3.0,334.0
1120d96c007f5e962669afdc30ee494,male,20s,1.0,67.0
11216930ac8e001eceac63f2284502e4,female,20s,1.0,36.0
1121a2da99b7dbd73e6e94ea1657c1cb,male,20s,2.0,181.0
11232083348128c935df031186370e5d,male,30s,1.0,5.0
112387e77281c501d42d9914a7ca6737,male,20s,2.0,94.0
1123b29d063d67e612abaf0ef974fd9d,male,20s,1.0,8.0
1124859ee0cd7832385947fe4cb0fc72,female,20s,1.0,24.0
1124ddf9c9ea03de6fc6af483eabaf61,male,20s,1.0,9.0
1124e392a67a9c6be0ce4d0ba6b9d24b,male,30s,1.0,9.0
112624f8d4071f96a72c4eb8df112d2e,male,20s,1.0,11.0
1127d57d5fbb094e1a08cae30ab5bd29,female,20s,1.0,12.0
11280c48d578904bec97116c8178accd,male,20s,1.0,40.0
112890f37a10155670415f713488c5a1,male,20s,1.0,217.0
112903bdf821e3bd9e8cc59d8e7d1238,male,20s,1.0,17.0
112a49fc53c500e36d5f44b81ae0cacf,female,20s,1.0,34.0
112aba10262707d9e3e343642e15b975,female,20s,1.0,39.0
112cdee108d92b4c0628c2b8e18bce7e,male,20s,1.0,21.0
112d44ee0d9cb643a5e87f6e8a86ac21,male,20s,1.0,18.0
112d6fa7992d7ad9c04d33fa9883aa4,male,20s,1.0,20.0
112d7a515031a029dcc9330004b548b1,female,30s,10.0,1901.0
112dd16ef90e0f20a23e78f283b46316,female,20s,1.0,390.0
112e305bbfd38f190a0164cc0eda855b,female,20s,1.0,1228.0
112e9f3ae77e7fafe32eeba58339468,male,30s,1.0,35.0
112fd7e814863d8716f98f9ec476053b,male,20s,1.0,163.0
112ffe9359b5101bbe9fd1b8cc3bb992,female,30s,5.0,696.0
113061fabc7388abeda6908d856294fc,male,30s,1.0,22.0
11312e804fc5e2222e555a16d862ea36,female,30s,1.0,95.0
113242512d71343f2931cc244012dfcb,female,30s,1.0,140.0
11336aba04865b6a205c11696bc8d783,male,30s,1.0,17.0
1135a0d67e26a4f6b0f26709b29f0313,female,30s,1.0,222.0
1135d9df56d56b42ce39ac6baaba4930,male,30s,1.0,57.0
11377bb5bef23e63e6699bf34a4df330,female,30s,1.0,21.0
11385694b6d05e46d1252c5deb11e27b,male,30s,3.0,1388.0
11390b267c2161c2109fd076f2c6c1f3,male,20s,1.0,11.0
113a39178e3b36364c9e5bc4db3efdb4,male,20s,1.0,48.0
113af7cc8f370609f8665feaf8118d00,female,20s,2.0,522.0
113b01ca26e2e34275ac752a83666098,female,30s,1.0,63.0
113b7f4561cd789e056162c82144b7cc,male,20s,2.0,99.0
113c73fc97b33f2d11634c0a6dae2606,male,20s,1.0,60.0
113da27e81856b60118f6eec89c8c8bf,female,20s,1.0,28.0
113e09e423ae2c9e2d6a856a428fd87a,female,20s,2.0,370.0
113e1abbecfec2b33d8a69b97c4ec366,female,30s,1.0,20.0
113f08f13222f82e0dc26bd4966b8dda,male,20s,4.0,502.0
113f455e412c370b4b6aece936351cab,female,10s,1.0,10.0
1140fdde65bba075452d59f139c0f6fa,male,30s,1.0,243.0
11415b6d2fdd0551fb40ef5d28b596cc,male,30s,1.0,4.0
1141c9ee47b42e4a51ef5d6aef3899d7,female,20s,4.0,1199.0
11421d3acef6aef30331418c69eeea40,male,20s,1.0,40.0
11449806a0bd0c3403022953ab7795e4,female,20s,1.0,152.0
11461ba5abd77e243418f7adc8e8a5fa,male,10s,3.0,112.0
11468450d76c94c96ff1531df119468,male,20s,1.0,10.0
